                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.99856,                0.44215,                 1.0698,                0.93537,                0.90079,                0.94856,                0.62663,                  1.191,                0.48535,                  1.237,                0.00472,                0.00472,                0.00472
                     68,                 1.0092,                0.44884,                 1.0623,                0.92785,                0.90836,                0.94812,                0.62236,                 1.1891,                0.48849,                 1.2227,               0.004555,               0.004555,               0.004555
                     69,                0.99567,                0.44355,                 1.0567,                0.92787,                0.90805,                0.94854,                0.62254,                 1.1989,                0.49274,                 1.2251,              0.0044725,              0.0044725,              0.0044725
                     70,                0.99081,                0.44038,                 1.0482,                0.93411,                0.90206,                0.94881,                 0.6254,                 1.1954,                0.48534,                  1.209,                0.00439,                0.00439,                0.00439
                     71,                0.97447,                0.43388,                 1.0512,                0.93579,                0.90086,                0.94875,                0.62741,                  1.191,                 0.4853,                 1.2115,              0.0043075,              0.0043075,              0.0043075
                     72,                0.98231,                0.43608,                 1.0483,                0.92973,                0.90579,                0.94768,                0.62262,                 1.2068,                 0.4939,                 1.2307,               0.004225,               0.004225,               0.004225
                     73,                 0.9679,                0.42899,                 1.0389,                0.93343,                0.90254,                0.94713,                0.62239,                 1.2109,                0.49621,                 1.2265,              0.0041425,              0.0041425,              0.0041425
                     74,                0.96776,                0.42799,                 1.0347,                0.93342,                0.90411,                0.94782,                0.62372,                 1.2035,                0.49074,                 1.2236,                0.00406,                0.00406,                0.00406
                     75,                0.95355,                0.42458,                 1.0334,                0.93578,                0.90195,                0.94629,                 0.6226,                 1.2064,                 0.4936,                 1.2309,              0.0039775,              0.0039775,              0.0039775
                     76,                0.95301,                0.42209,                 1.0299,                0.93105,                 0.9027,                0.94561,                0.62035,                 1.2081,                0.49639,                 1.2348,               0.003895,               0.003895,               0.003895
                     77,                0.93725,                 0.4154,                 1.0278,                0.93676,                0.90228,                0.94793,                0.62332,                  1.206,                0.48983,                 1.2364,              0.0038125,              0.0038125,              0.0038125
                     78,                0.93222,                0.41438,                 1.0273,                 0.9363,                 0.9037,                0.94816,                0.62412,                 1.2061,                 0.4872,                 1.2451,                0.00373,                0.00373,                0.00373
                     79,                0.92235,                0.40918,                 1.0257,                0.93252,                0.90267,                0.94787,                0.62274,                  1.209,                0.49328,                  1.249,              0.0036475,              0.0036475,              0.0036475
                     80,                0.92027,                0.40736,                 1.0199,                0.93586,                0.90317,                0.94737,                0.62363,                 1.2025,                 0.4878,                 1.2374,               0.003565,               0.003565,               0.003565
                     81,                0.90948,                 0.4025,                 1.0195,                0.93431,                0.90575,                0.94798,                 0.6232,                 1.2039,                 0.4867,                 1.2392,              0.0034825,              0.0034825,              0.0034825
                     82,                0.90675,                0.39889,                 1.0128,                0.93546,                 0.9045,                0.94769,                0.62232,                   1.21,                 0.4888,                 1.2474,                 0.0034,                 0.0034,                 0.0034
                     83,                0.88976,                0.39492,                 1.0076,                0.93588,                0.90416,                0.94768,                 0.6229,                 1.2081,                0.48831,                 1.2427,              0.0033175,              0.0033175,              0.0033175
                     84,                0.88789,                0.39366,                 1.0101,                0.93437,                 0.9057,                 0.9493,                0.62362,                 1.2068,                0.48616,                 1.2451,               0.003235,               0.003235,               0.003235
                     85,                0.88594,                0.39112,                 1.0066,                 0.9368,                0.90081,                0.94808,                0.62245,                 1.2091,                0.48651,                 1.2466,              0.0031525,              0.0031525,              0.0031525
                     86,                0.87955,                0.39011,                 1.0074,                0.93184,                0.90858,                0.94858,                0.62289,                 1.2098,                0.48763,                 1.2546,                0.00307,                0.00307,                0.00307
                     87,                0.87477,                 0.3851,                0.99893,                0.93664,                0.90478,                0.94876,                0.62303,                 1.2092,                0.49071,                 1.2554,              0.0029875,              0.0029875,              0.0029875
                     88,                0.90954,                0.39908,                 1.0137,                0.93337,                0.90655,                0.94851,                0.62222,                 1.2099,                0.48857,                 1.2516,               0.002905,               0.002905,               0.002905
                     89,                0.93773,                0.41497,                 1.0248,                0.93121,                0.90653,                0.94785,                0.62091,                 1.2114,                0.48621,                  1.248,              0.0028225,              0.0028225,              0.0028225
